time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/approx_kl
5,1,100,512,,,,,,,,,,
8,2,126,1024,-0.028305041079875082,-1.5978404805064201,0.28271484375,0.2,0.7968484461307526,4,-0.0879485234618187,0.0003,0.004603695029800292,0.021620959
10,3,144,1536,-0.002374480478465557,-1.6031793393194675,0.0,0.2,0.7380689084529877,8,-0.028504755347967148,0.0003,0.0020380467467475682,0.0015929259
13,4,154,2048,-0.02077627246035263,-1.5926098562777042,0.10107421875,0.2,0.6425701081752777,12,-0.08056535571813583,0.0003,0.003230474992960808,0.016527161
15,5,162,2560,-0.020612085529137403,-1.532225415110588,0.22021484375,0.2,0.6493910551071167,16,-0.06340965628623962,0.0003,0.0014947598065191414,0.019780245
18,6,167,3072,-0.0025541986688040197,-1.4991056993603706,0.0,0.2,-0.20109033584594727,20,-0.01858624257147312,0.0003,0.001545281015751243,0.004197059
20,7,171,3584,-0.015118269482627511,-1.4617601856589317,0.17578125,0.2,-0.10153675079345703,24,-0.06114688515663147,0.0003,0.0005764562604326784,0.017969161
23,8,174,4096,-0.005730487231630832,-1.4409638606011868,0.0673828125,0.2,-0.21811997890472412,28,-0.009077606722712517,0.0003,0.00029153478715215897,0.008943196
26,9,177,4608,-0.0023980612750165164,-1.36429288610816,0.00927734375,0.2,-0.24142992496490479,32,-0.026007695123553276,0.0003,0.0006130065428351372,0.004793054
28,10,178,5120,-0.008529282815288752,-1.3103747256100178,0.1123046875,0.2,-0.09859263896942139,36,-0.04725383594632149,0.0003,0.00023151320513647988,0.018910654
31,11,180,5632,0.0001430122065357864,-1.274429827928543,0.0,0.2,-0.1447979211807251,40,-0.0018597902962937951,0.0003,0.0002231439300146576,0.0013072103
33,12,182,6144,-0.00879750945023261,-1.1660219132900238,0.10498046875,0.2,-0.2739039659500122,44,-0.026812080293893814,0.0003,0.0001171993165769436,0.011985026
36,13,183,6656,-0.005141591856954619,-1.065552730113268,0.07275390625,0.2,-0.12484002113342285,48,-0.024982206523418427,0.0003,0.00012786376785811626,0.0132365795
38,14,184,7168,-0.005731043464038521,-1.000767845660448,0.052734375,0.2,0.01866990327835083,52,-0.025813035666942596,0.0003,0.000119630773440349,0.0064563463
41,15,185,7680,-0.0002766038232948631,-0.962943596765399,0.0,0.2,-0.47512495517730713,56,-0.0019335536053404212,0.0003,4.962818822917825e-05,0.0038073831
44,16,186,8192,-0.0036522268783301115,-0.9772627353668213,0.02587890625,0.2,-0.21757066249847412,60,-0.027272257953882217,0.0003,4.737746724003955e-05,0.0019000721
